,game_id,datetime,year,month,home,homescore,away,awayscore,ref,attendance,score_deficit,totals
50,2009-04-10HuddersfieldCrusaders,2009-04-10,2009,Apr,Huddersfield,30,Crusaders,10,R. Silverwood,6407.0,20,40
51,2009-04-10BradfordLeeds,2009-04-10,2009,Apr,Bradford,10,Leeds,6,I. Smith,14554.0,4,16
52,2009-04-10Hull FCHull KR,2009-04-10,2009,Apr,Hull FC,14,Hull KR,18,S. Ganson,22337.0,-4,32
53,2009-04-10SalfordWarrington,2009-04-10,2009,Apr,Salford,18,Warrington,16,J. Leahy,6150.0,2,34
54,2009-04-10CastlefordWakefield,2009-04-10,2009,Apr,Castleford,6,Wakefield,35,P. Bentham,10155.0,-29,41
55,2009-04-13CatalansWigan,2009-04-13,2009,Apr,Catalans,40,Wigan,24,P. Bentham,9490.0,16,64
56,2009-04-13St HelensHull FC,2009-04-13,2009,Apr,St Helens,44,Hull FC,22,T. Alibert,13684.0,22,66
57,2009-04-13WarringtonCastleford,2009-04-13,2009,Apr,Warrington,6,Castleford,28,S. Ganson,8202.0,-22,34
58,2009-04-13LeedsSalford,2009-04-13,2009,Apr,Leeds,20,Salford,30,J. Child,14381.0,-10,50
59,2009-04-13Hull KRHuddersfield,2009-04-13,2009,Apr,Hull KR,8,Huddersfield,30,B. Thaler,8731.0,-22,38
60,2009-04-13Wakefield TrinityBradford,2009-04-13,2009,Apr,Wakefield Trinity,24,Bradford,22,R. Silverwood,6516.0,2,46
61,2009-04-13CrusadersLondon,2009-04-13,2009,Apr,Crusaders,18,London,40,I. Smith,3009.0,-22,58
62,2009-04-17BradfordWarrington,2009-04-17,2009,Apr,Bradford,22,Warrington,58,T. Alibert,8643.0,-36,80
63,2009-04-17Hull FCWakefield,2009-04-17,2009,Apr,Hull FC,14,Wakefield,21,G. Hewer,11975.0,-7,35
64,2009-04-18HuddersfieldLeeds,2009-04-18,2009,Apr,Huddersfield,6,Leeds,34,R. Silverwood,11593.0,-28,40
65,2009-04-18CatalansSalford,2009-04-18,2009,Apr,Catalans,38,Salford,6,B. Thaler,8327.0,32,44
66,2009-04-19CastlefordSt Helens,2009-04-19,2009,Apr,Castleford,22,St Helens,68,I. Smith,8003.0,-46,90
67,2009-04-19LondonHull KR,2009-04-19,2009,Apr,London,12,Hull KR,32,P. Bentham,3492.0,-20,44
68,2009-04-19WiganCrusaders,2009-04-19,2009,Apr,Wigan,44,Crusaders,10,S. Ganson,12371.0,34,54
69,2009-04-24LeedsLondon,2009-04-24,2009,Apr,Leeds,4,London,21,S. Ganson,13912.0,-17,25
70,2009-04-24St HelensBradford,2009-04-24,2009,Apr,St Helens,30,Bradford,34,R. Silverwood,14000.0,-4,64
71,2009-04-25SalfordHull FC,2009-04-25,2009,Apr,Salford,14,Hull FC,18,J. Leahy,4165.0,-4,32
72,2009-04-26Hull KRCatalans,2009-04-26,2009,Apr,Hull KR,44,Catalans,10,I. Smith,8115.0,34,54
73,2009-04-26Wakefield TrinityWigan,2009-04-26,2009,Apr,Wakefield Trinity,26,Wigan,40,B. Thaler,5521.0,-14,66
74,2009-04-26WarringtonHuddersfield,2009-04-26,2009,Apr,Warrington,40,Huddersfield,18,P. Bentham,8007.0,22,58
75,2009-04-26CrusadersCastleford,2009-04-26,2009,Apr,Crusaders,22,Castleford,34,T. Alibert,2857.0,-12,56
76,2009-05-02WiganSt Helens,2009-05-02,2009,May,Wigan,38,St Helens,18,S. Ganson,29627.0,20,56
77,2009-05-02SalfordLondon,2009-05-02,2009,May,Salford,16,London,24,G. Hewer,29627.0,-8,40
78,2009-05-02Wakefield TrinityBradford,2009-05-02,2009,May,Wakefield Trinity,16,Bradford,32,I. Smith,29627.0,-16,48
79,2009-05-03HuddersfieldCrusaders,2009-05-03,2009,May,Huddersfield,40,Crusaders,16,B. Thaler,30122.0,24,56
80,2009-05-03WarringtonHull KR,2009-05-03,2009,May,Warrington,28,Hull KR,36,R. Silverwood,30122.0,-8,64
81,2009-05-03Hull FCCastleford,2009-05-03,2009,May,Hull FC,24,Castleford,16,P. Bentham,30122.0,8,40
82,2009-05-03CatalansLeeds,2009-05-03,2009,May,Catalans,16,Leeds,36,T. Alibert,30122.0,-20,52
83,2009-05-15CastlefordLeeds,2009-05-15,2009,May,Castleford,22,Leeds,24,I. Smith,8082.0,-2,46
84,2009-05-15WiganHull KR,2009-05-15,2009,May,Wigan,12,Hull KR,20,R. Silverwood,13415.0,-8,32
85,2009-05-16Hull FCWarrington,2009-05-16,2009,May,Hull FC,16,Warrington,18,S. Ganson,10997.0,-2,34
86,2009-05-16CatalansSt Helens,2009-05-16,2009,May,Catalans,28,St Helens,32,P. Bentham,9065.0,-4,60
87,2009-05-17LondonWakefield,2009-05-17,2009,May,London,24,Wakefield,17,B. Thaler,3612.0,7,41
88,2009-05-17BradfordCrusaders,2009-05-17,2009,May,Bradford,24,Crusaders,30,J. Child,7602.0,-6,54
89,2009-05-17HuddersfieldSalford,2009-05-17,2009,May,Huddersfield,4,Salford,24,T. Alibert,6903.0,-20,28
90,2009-05-22St HelensLondon,2009-05-22,2009,May,St Helens,22,London,12,S. Ganson,9359.0,10,34
91,2009-05-22Hull KRCastleford,2009-05-22,2009,May,Hull KR,16,Castleford,6,G. Hewer,8104.0,10,22
92,2009-05-22SalfordBradford,2009-05-22,2009,May,Salford,18,Bradford,10,P. Bentham,4383.0,8,28
93,2009-05-22WarringtonWigan,2009-05-22,2009,May,Warrington,16,Wigan,8,B. Thaler,10718.0,8,24
94,2009-05-23CrusadersCatalans,2009-05-23,2009,May,Crusaders,18,Catalans,30,R. Silverwood,2927.0,-12,48
95,2009-05-24Wakefield TrinityHuddersfield,2009-05-24,2009,May,Wakefield Trinity,6,Huddersfield,54,P. Bentham,5037.0,-48,60
96,2009-05-26LeedsHull FC,2009-05-26,2009,May,Leeds,46,Hull FC,16,T. Alibert,15929.0,30,62
97,2009-05-30CrusadersWakefield,2009-05-30,2009,May,Crusaders,6,Wakefield,50,B. Thaler,2089.0,-44,56
98,2009-06-05Hull FCSt Helens,2009-06-05,2009,Jun,Hull FC,6,St Helens,30,P. Bentham,12009.0,-24,36
99,2009-06-05HuddersfieldHull KR,2009-06-05,2009,Jun,Huddersfield,22,Hull KR,6,R. Silverwood,6346.0,16,28
100,2009-06-05WiganSalford,2009-06-05,2009,Jun,Wigan,34,Salford,18,I. Smith,11550.0,16,52
101,2009-06-06CastlefordWarrington,2009-06-06,2009,Jun,Castleford,18,Warrington,34,B. Thaler,5628.0,-16,52
102,2009-06-06CatalansLeeds,2009-06-06,2009,Jun,Catalans,32,Leeds,30,S. Ganson,7913.0,2,62
103,2009-06-06LondonCrusaders,2009-06-06,2009,Jun,London,26,Crusaders,6,J. Leahy,2245.0,20,32
104,2009-06-07BradfordWakefield,2009-06-07,2009,Jun,Bradford,36,Wakefield,22,T. Alibert,8387.0,14,58
105,2009-06-12St HelensCastleford,2009-06-12,2009,Jun,St Helens,50,Castleford,10,I. Smith,9680.0,40,60
106,2009-06-12Hull KRLondon,2009-06-12,2009,Jun,Hull KR,10,London,40,P. Bentham,7874.0,-30,50
107,2009-06-13Wakefield TrinityHull FC,2009-06-13,2009,Jun,Wakefield Trinity,37,Hull FC,22,B. Thaler,4721.0,15,59
108,2009-06-13CrusadersWigan,2009-06-13,2009,Jun,Crusaders,22,Wigan,16,S. Ganson,5253.0,6,38
109,2009-06-14LeedsHuddersfield,2009-06-14,2009,Jun,Leeds,20,Huddersfield,12,T. Alibert,14934.0,8,32
110,2009-06-14WarringtonBradford,2009-06-14,2009,Jun,Warrington,10,Bradford,21,R. Silverwood,9606.0,-11,31
111,2009-06-19Hull FCSalford,2009-06-19,2009,Jun,Hull FC,14,Salford,12,P. Bentham,11218.0,2,26
112,2009-06-19HuddersfieldCastleford,2009-06-19,2009,Jun,Huddersfield,6,Castleford,13,S. Ganson,6010.0,-7,19
113,2009-06-20LondonLeeds,2009-06-20,2009,Jun,London,14,Leeds,48,I. Smith,4378.0,-34,62
114,2009-06-20CrusadersHull KR,2009-06-20,2009,Jun,Crusaders,18,Hull KR,32,J. Child,3015.0,-14,50
115,2009-06-20CatalansWarrington,2009-06-20,2009,Jun,Catalans,12,Warrington,24,T. Alibert,18150.0,-12,36
116,2009-06-21BradfordSt Helens,2009-06-21,2009,Jun,Bradford,18,St Helens,44,B. Thaler,10599.0,-26,62
117,2009-06-26St HelensCrusaders,2009-06-26,2009,Jun,St Helens,30,Crusaders,0,G. Hewer,8684.0,30,30
118,2009-06-26LeedsBradford,2009-06-26,2009,Jun,Leeds,33,Bradford,20,P. Bentham,17824.0,13,53
119,2009-06-26SalfordHuddersfield,2009-06-26,2009,Jun,Salford,10,Huddersfield,34,B. Thaler,3721.0,-24,44
120,2009-06-27CastlefordCatalans,2009-06-27,2009,Jun,Castleford,20,Catalans,22,I. Smith,5508.0,-2,42
121,2009-06-28Wakefield TrinityLondon,2009-06-28,2009,Jun,Wakefield Trinity,20,London,18,R. Silverwood,5079.0,2,38
122,2009-06-28WarringtonHull FC,2009-06-28,2009,Jun,Warrington,24,Hull FC,12,S. Ganson,9170.0,12,36
123,2009-06-28Hull KRWigan,2009-06-28,2009,Jun,Hull KR,28,Wigan,36,T. Alibert,9007.0,-8,64
124,2009-07-03WiganLondon,2009-07-03,2009,Jul,Wigan,40,London,12,S. Ganson,14977.0,28,52
125,2009-07-03SalfordSt Helens,2009-07-03,2009,Jul,Salford,20,St Helens,10,J. Child,4808.0,10,30
126,2009-07-04Hull FCLeeds,2009-07-04,2009,Jul,Hull FC,30,Leeds,43,I. Smith,11780.0,-13,73
127,2009-07-04CatalansHull KR,2009-07-04,2009,Jul,Catalans,23,Hull KR,12,R. Silverwood,9073.0,11,35
128,2009-07-04CrusadersWarrington,2009-07-04,2009,Jul,Crusaders,6,Warrington,22,T. Alibert,3231.0,-16,28
129,2009-07-05BradfordCastleford,2009-07-05,2009,Jul,Bradford,38,Castleford,40,B. Thaler,8971.0,-2,78
130,2009-07-05HuddersfieldWakefield,2009-07-05,2009,Jul,Huddersfield,30,Wakefield,14,P. Bentham,7486.0,16,44
131,2009-07-10WiganCatalans,2009-07-10,2009,Jul,Wigan,24,Catalans,22,B. Thaler,11543.0,2,46
132,2009-07-10Wakefield TrinityLeeds,2009-07-10,2009,Jul,Wakefield Trinity,30,Leeds,32,S. Ganson,6425.0,-2,62
133,2009-07-11LondonHuddersfield,2009-07-11,2009,Jul,London,16,Huddersfield,32,T. Alibert,3916.0,-16,48
134,2009-07-11WarringtonSt Helens,2009-07-11,2009,Jul,Warrington,26,St Helens,40,R. Silverwood,12075.0,-14,66
135,2009-07-11CrusadersSalford,2009-07-11,2009,Jul,Crusaders,25,Salford,12,P. Bentham,3009.0,13,37
136,2009-07-12Hull KRBradford,2009-07-12,2009,Jul,Hull KR,32,Bradford,12,I. Smith,8206.0,20,44
137,2009-07-12CastlefordHull FC,2009-07-12,2009,Jul,Castleford,40,Hull FC,18,J. Leahy,8297.0,22,58
138,2009-07-17SalfordCastleford,2009-07-17,2009,Jul,Salford,12,Castleford,18,G. Hewer,3487.0,-6,30
139,2009-07-17St HelensWakefield,2009-07-17,2009,Jul,St Helens,20,Wakefield,22,T. Alibert,8651.0,-2,42
140,2009-07-17Hull FCCrusaders,2009-07-17,2009,Jul,Hull FC,22,Crusaders,6,J. Child,10397.0,16,28
141,2009-07-17LeedsHull KR,2009-07-17,2009,Jul,Leeds,24,Hull KR,14,B. Thaler,16192.0,10,38
142,2009-07-19CatalansLondon,2009-07-19,2009,Jul,Catalans,38,London,16,S. Ganson,8324.0,22,54
143,2009-07-19HuddersfieldWarrington,2009-07-19,2009,Jul,Huddersfield,28,Warrington,10,I. Smith,7107.0,18,38
144,2009-07-19BradfordWigan,2009-07-19,2009,Jul,Bradford,14,Wigan,20,R. Silverwood,9487.0,-6,34
145,2009-07-24WiganLeeds,2009-07-24,2009,Jul,Wigan,28,Leeds,10,P. Bentham,20295.0,18,38
146,2009-07-25LondonSt Helens,2009-07-25,2009,Jul,London,24,St Helens,44,J. Child,4258.0,-20,68
147,2009-07-25Hull KRHull FC,2009-07-25,2009,Jul,Hull KR,24,Hull FC,18,R. Silverwood,9450.0,6,42
148,2009-07-25CrusadersBradford,2009-07-25,2009,Jul,Crusaders,12,Bradford,34,T. Alibert,3089.0,-22,46
149,2009-07-26HuddersfieldCatalans,2009-07-26,2009,Jul,Huddersfield,36,Catalans,12,P. Bentham,5823.0,24,48
150,2009-07-26Wakefield TrinityCastleford,2009-07-26,2009,Jul,Wakefield Trinity,12,Castleford,20,I. Smith,8371.0,-8,32
151,2009-07-26WarringtonSalford,2009-07-26,2009,Jul,Warrington,62,Salford,20,B. Thaler,8906.0,42,82
152,2009-07-31St HelensWigan,2009-07-31,2009,Jul,St Helens,10,Wigan,6,B. Thaler,15563.0,4,16
153,2009-07-31SalfordWakefield,2009-07-31,2009,Jul,Salford,24,Wakefield,30,J. Child,3151.0,-6,54
154,2009-07-31Hull FCHuddersfield,2009-07-31,2009,Jul,Hull FC,0,Huddersfield,24,S. Ganson,11191.0,-24,24
155,2009-08-01CatalansCrusaders,2009-08-01,2009,Aug,Catalans,34,Crusaders,0,R. Silverwood,6874.0,34,34
156,2009-08-01LeedsWarrington,2009-08-01,2009,Aug,Leeds,24,Warrington,22,I. Smith,13386.0,2,46
157,2009-08-02CastlefordHull KR,2009-08-02,2009,Aug,Castleford,28,Hull KR,46,T. Alibert,8709.0,-18,74
158,2009-08-02BradfordLondon,2009-08-02,2009,Aug,Bradford,14,London,22,P. Bentham,7813.0,-8,36
159,2009-08-07SalfordCatalans,2009-08-07,2009,Aug,Salford,16,Catalans,18,P. Bentham,3475.0,-2,34
160,2009-08-08LondonBradford,2009-08-08,2009,Aug,London,18,Bradford,42,I. Smith,3112.0,-24,60
161,2009-08-14LeedsCastleford,2009-08-14,2009,Aug,Leeds,76,Castleford,12,B. Thaler,16931.0,64,88
162,2009-08-14WiganWarrington,2009-08-14,2009,Aug,Wigan,36,Warrington,16,R. Silverwood,13452.0,20,52
163,2009-08-15CatalansHull FC,2009-08-15,2009,Aug,Catalans,18,Hull FC,6,I. Smith,9800.0,12,24
164,2009-08-15LondonSalford,2009-08-15,2009,Aug,London,22,Salford,26,T. Alibert,2612.0,-4,48
165,2009-08-16Wakefield TrinityCrusaders,2009-08-16,2009,Aug,Wakefield Trinity,46,Crusaders,12,J. Child,7893.0,34,58
166,2009-08-16HuddersfieldBradford,2009-08-16,2009,Aug,Huddersfield,18,Bradford,28,P. Bentham,7982.0,-10,46
167,2009-08-16Hull KRSt Helens,2009-08-16,2009,Aug,Hull KR,26,St Helens,10,S. Ganson,8976.0,16,36
168,2009-08-21St HelensHuddersfield,2009-08-21,2009,Aug,St Helens,12,Huddersfield,10,I. Smith,8708.0,2,22
169,2009-08-21Hull FCLondon,2009-08-21,2009,Aug,Hull FC,26,London,6,P. Bentham,15592.0,20,32
170,2009-08-21SalfordHull KR,2009-08-21,2009,Aug,Salford,10,Hull KR,14,J. Leahy,4224.0,-4,24
171,2009-08-21WarringtonWakefield,2009-08-21,2009,Aug,Warrington,28,Wakefield,40,B. Thaler,8681.0,-12,68
172,2009-08-22CrusadersLeeds,2009-08-22,2009,Aug,Crusaders,0,Leeds,68,T. Alibert,5597.0,-68,68
173,2009-08-23CastlefordWigan,2009-08-23,2009,Aug,Castleford,26,Wigan,29,S. Ganson,6574.0,-3,55
174,2009-08-23BradfordCatalans,2009-08-23,2009,Aug,Bradford,42,Catalans,18,R. Silverwood,7919.0,24,60
175,2009-09-04LeedsSt Helens,2009-09-04,2009,Sep,Leeds,18,St Helens,10,P. Bentham,19997.0,8,28
176,2009-09-04WiganHull FC,2009-09-04,2009,Sep,Wigan,34,Hull FC,22,B. Thaler,12491.0,12,56
177,2009-09-05Hull KRWarrington,2009-09-05,2009,Sep,Hull KR,40,Warrington,16,R. Silverwood,8579.0,24,56
178,2009-09-05CrusadersHuddersfield,2009-09-05,2009,Sep,Crusaders,16,Huddersfield,42,S. Ganson,1988.0,-26,58
179,2009-09-05CatalansWakefield,2009-09-05,2009,Sep,Catalans,20,Wakefield,34,I. Smith,8755.0,-14,54
180,2009-09-06BradfordSalford,2009-09-06,2009,Sep,Bradford,44,Salford,18,J. Child,8167.0,26,62
181,2009-09-06LondonCastleford,2009-09-06,2009,Sep,London,0,Castleford,48,T. Alibert,3824.0,-48,48
182,2009-09-11Hull FCBradford,2009-09-11,2009,Sep,Hull FC,18,Bradford,21,R. Silverwood,10412.0,-3,39
183,2009-09-11St HelensCatalans,2009-09-11,2009,Sep,St Helens,12,Catalans,24,B. Thaler,8268.0,-12,36
184,2009-09-11SalfordLeeds,2009-09-11,2009,Sep,Salford,24,Leeds,30,T. Alibert,6101.0,-6,54
185,2009-09-12Wakefield TrinityHull KR,2009-09-12,2009,Sep,Wakefield Trinity,24,Hull KR,10,S. Ganson,6328.0,14,34
186,2009-09-13WarringtonLondon,2009-09-13,2009,Sep,Warrington,44,London,34,P. Bentham,10387.0,10,78
187,2009-09-13HuddersfieldWigan,2009-09-13,2009,Sep,Huddersfield,48,Wigan,16,I. Smith,8988.0,32,64
188,2009-09-13CastlefordCrusaders,2009-09-13,2009,Sep,Castleford,35,Crusaders,22,J. Child,6547.0,13,57
189,2009-09-18LeedsHull KR,2009-09-18,2009,Sep,Leeds,44,Hull KR,8,S. Ganson,11220.0,36,52
190,2009-09-19St HelensHuddersfield,2009-09-19,2009,Sep,St Helens,15,Huddersfield,2,R. Silverwood,6157.0,13,17
191,2009-09-19Wakefield TrinityCatalans,2009-09-19,2009,Sep,Wakefield Trinity,16,Catalans,25,P. Bentham,4008.0,-9,41
192,2009-09-20WiganCastleford,2009-09-20,2009,Sep,Wigan,18,Castleford,12,I. Smith,8689.0,6,30
193,2009-09-25HuddersfieldCatalans,2009-09-25,2009,Sep,Huddersfield,6,Catalans,16,S. Ganson,4263.0,-10,22
194,2009-09-26Hull KRWigan,2009-09-26,2009,Sep,Hull KR,16,Wigan,30,R. Silverwood,8162.0,-14,46
195,2009-10-02LeedsCatalans,2009-10-02,2009,Oct,Leeds,27,Catalans,20,R. Silverwood,13409.0,7,47
196,2009-10-03St HelensWigan,2009-10-03,2009,Oct,St Helens,14,Wigan,10,S. Ganson,13087.0,4,24
197,2009-10-10LeedsSt Helens,2009-10-10,2009,Oct,Leeds,18,St Helens,10,S. Ganson,63259.0,8,28
198,2010-01-29CrusadersLeeds,2010-01-29,2010,Jan,Crusaders,6,Leeds,34,B. Thaler,10334.0,-28,40
199,2010-01-30LondonWakefield,2010-01-30,2010,Jan,London,10,Wakefield,18,I. Smith,3688.0,-8,28
200,2010-02-05HuddersfieldBradford,2010-02-05,2010,Feb,Huddersfield,24,Bradford,12,S. Ganson,9774.0,12,36
201,2010-02-05WiganCrusaders,2010-02-05,2010,Feb,Wigan,38,Crusaders,6,J. Child,13680.0,32,44
202,2010-02-05LeedsCastleford,2010-02-05,2010,Feb,Leeds,10,Castleford,24,I. Smith,15875.0,-14,34
203,2010-02-06St HelensHull FC,2010-02-06,2010,Feb,St Helens,12,Hull FC,32,B. Thaler,12142.0,-20,44
204,2010-02-07WarringtonLondon,2010-02-07,2010,Feb,Warrington,58,London,0,T. Alibert,11678.0,58,58
205,2010-02-07Hull KRSalford,2010-02-07,2010,Feb,Hull KR,30,Salford,12,R. Silverwood,9123.0,18,42
206,2010-02-07Wakefield TrinityCatalans,2010-02-07,2010,Feb,Wakefield Trinity,28,Catalans,20,P. Bentham,5818.0,8,48
207,2010-02-12SalfordCrusaders,2010-02-12,2010,Feb,Salford,16,Crusaders,36,S. Ganson,3421.0,-20,52
208,2010-02-12WiganHull KR,2010-02-12,2010,Feb,Wigan,32,Hull KR,6,I. Smith,12429.0,26,38
209,2010-02-12Hull FCHuddersfield,2010-02-12,2010,Feb,Hull FC,14,Huddersfield,6,T. Alibert,14520.0,8,20
