fixture_id,fixture_url,player_id,player_name,position_id,team_id,opposition_id,tries,goals_made,goals_missed,drop_goals,tackles_made,carries,metres,kicks_in_gen_play,try_assists,forty_twentys,dummy_half_runs,tackle_busts_breaks,clean_line_breaks,offloads,tackles_missed,errors,pens_conceded,yellow_cards,red_cards,help_anytime,help_brace,help_hattrick
11092,https://www.superleague.co.uk/match-centre/report/43908,181,Arthur Mourgue,1,Hull Kingston Rovers,York RLFC,0,0,0,0,5,15,128,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,182,Tom Davies,2,Hull Kingston Rovers,York RLFC,0,0,0,0,3,20,154,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,36,Peta Hiku,3,Hull Kingston Rovers,York RLFC,0,0,0,0,12,19,114,0,0,0,0,2,0,1,5,2,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,21,Oliver Gildart,4,Hull Kingston Rovers,York RLFC,0,0,0,0,7,16,75,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,256,Joe Burgess,5,Hull Kingston Rovers,York RLFC,0,0,0,0,3,9,60,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,842,Noah Booth,14,Hull Kingston Rovers,York RLFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,23,Tyrone May,6,Hull Kingston Rovers,York RLFC,0,0,0,0,25,10,56,8,0,0,0,8,0,0,3,2,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,24,Mikey Lewis,7,Hull Kingston Rovers,York RLFC,0,0,0,0,17,12,80,13,0,0,0,0,0,1,7,0,1,1,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,25,Sauaso Sue,8,Hull Kingston Rovers,York RLFC,1,0,0,0,24,12,76,0,0,0,0,0,1,0,6,0,1,0,0,1,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,29,James Batchelor,11,Hull Kingston Rovers,York RLFC,0,0,0,0,43,7,56,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,30,Elliot Minchella,13,Hull Kingston Rovers,York RLFC,0,0,0,0,52,14,77,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,153,Jack Broadbent,14,Hull Kingston Rovers,York RLFC,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,257,Sam Luckley,16,Hull Kingston Rovers,York RLFC,0,0,0,0,23,6,23,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,27,Jai Whitbread,16,Hull Kingston Rovers,York RLFC,2,0,0,0,43,10,69,0,0,0,0,4,2,0,5,0,3,0,0,1,1,0
11092,https://www.superleague.co.uk/match-centre/report/43908,13,Jack Brown,10,Hull Kingston Rovers,York RLFC,0,0,0,0,9,5,27,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,34,Jez Litten,9,Hull Kingston Rovers,York RLFC,0,0,0,0,40,6,80,6,2,0,5,2,1,1,2,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,117,Rhyse Martin,12,Hull Kingston Rovers,York RLFC,0,3,0,0,37,11,54,0,0,0,0,2,0,1,2,0,3,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,897,Karl Lawton,17,Hull Kingston Rovers,York RLFC,0,0,0,0,30,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,146,Sam Wood,3,York RLFC,Hull Kingston Rovers,2,0,0,0,29,15,86,0,0,0,0,4,2,0,2,0,1,0,0,1,1,0
11092,https://www.superleague.co.uk/match-centre/report/43908,119,Justin Sangare,16,York RLFC,Hull Kingston Rovers,0,0,0,0,43,10,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,206,Paul Vaughan,10,York RLFC,Hull Kingston Rovers,0,0,0,0,38,13,99,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,406,Josh Griffin,18,York RLFC,Hull Kingston Rovers,0,0,0,0,38,8,68,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,233,Denive Balmforth,17,York RLFC,Hull Kingston Rovers,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,896,Jack Martin,16,York RLFC,Hull Kingston Rovers,0,0,0,0,38,17,92,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,895,Jesse Dee,11,York RLFC,Hull Kingston Rovers,0,0,0,0,11,2,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,890,Nikau Williams,4,York RLFC,Hull Kingston Rovers,0,0,0,0,13,10,72,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,698,Ben Jones-Bishop,2,York RLFC,Hull Kingston Rovers,0,0,0,0,5,12,79,0,0,0,2,5,0,0,1,1,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,889,Toa Mata'afa,1,York RLFC,Hull Kingston Rovers,0,0,0,0,3,19,123,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,891,Scott Galeano,5,York RLFC,Hull Kingston Rovers,1,0,0,0,0,14,111,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,286,Paul McShane,9,York RLFC,Hull Kingston Rovers,0,0,0,0,39,2,9,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,585,Jordan Thompson,13,York RLFC,Hull Kingston Rovers,0,0,0,0,41,10,73,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,894,Oliver Field,12,York RLFC,Hull Kingston Rovers,0,0,0,0,47,7,44,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,893,Xavier Va'a,8,York RLFC,Hull Kingston Rovers,0,0,0,0,17,7,55,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,239,King Vuniyayawa,16,York RLFC,Hull Kingston Rovers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,892,Liam Harris,7,York RLFC,Hull Kingston Rovers,0,3,1,0,21,11,13,15,1,0,0,3,0,1,0,2,0,0,0,0,0,0
11092,https://www.superleague.co.uk/match-centre/report/43908,636,Ata Hingano,6,York RLFC,Hull Kingston Rovers,0,0,0,1,16,17,62,7,1,0,0,2,0,1,5,0,1,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,798,Nick Cotric,3,Catalans Dragons,Huddersfield Giants,0,0,0,0,17,15,134,0,0,0,1,5,0,0,2,0,1,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,223,Matthieu Laguerre,14,Catalans Dragons,Huddersfield Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,74,Tommy Makinson,5,Catalans Dragons,Huddersfield Giants,1,0,0,0,2,18,111,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,195,Alrix Da Costa,9,Catalans Dragons,Huddersfield Giants,0,0,0,0,17,2,19,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,225,Benjamin Garcia,13,Catalans Dragons,Huddersfield Giants,0,0,0,0,34,15,100,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,187,Romain Navarrete,10,Catalans Dragons,Huddersfield Giants,0,0,0,0,22,8,57,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,190,Julian Bousquet,16,Catalans Dragons,Huddersfield Giants,0,0,0,0,17,11,72,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,188,Chris Satae,16,Catalans Dragons,Huddersfield Giants,0,0,0,0,12,4,29,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,171,Kruise Leeming,17,Catalans Dragons,Huddersfield Giants,0,0,0,0,27,5,36,3,0,0,4,1,0,0,3,1,1,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,903,Ben Condon,11,Catalans Dragons,Huddersfield Giants,1,0,0,0,31,12,51,0,0,0,1,2,0,0,5,1,0,0,0,1,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,902,Zac Lipowicz,12,Catalans Dragons,Huddersfield Giants,0,0,0,0,40,14,104,0,1,0,0,4,1,1,0,1,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,899,Solomona Faataape,4,Catalans Dragons,Huddersfield Giants,1,0,0,0,9,12,105,0,1,0,0,6,1,1,1,1,0,0,0,1,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,898,Charlie Staines,1,Catalans Dragons,Huddersfield Giants,1,0,0,0,1,30,269,0,0,0,0,5,1,2,0,0,0,0,0,1,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,904,Iszac Fa'asuamaleaui,16,Catalans Dragons,Huddersfield Giants,0,0,0,0,25,14,90,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,80,Lewis Dodd,7,Catalans Dragons,Huddersfield Giants,0,0,0,0,32,12,64,15,1,0,4,2,0,1,0,1,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,901,Josh Allen,8,Catalans Dragons,Huddersfield Giants,0,0,0,0,32,12,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,900,Toby Sexton,6,Catalans Dragons,Huddersfield Giants,0,5,0,0,27,13,47,22,0,0,0,2,0,1,3,0,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,511,Josh Simm,2,Catalans Dragons,Huddersfield Giants,0,0,0,0,7,20,79,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0
11093,https://www.superleague.co.uk/match-centre/report/43909,823,George Flanagan,1,Huddersfield Giants,Catalans Dragons,1,1,1,0,10,14,50,1,0,0,0,2,0,0,1,3,1,0,0,1,0,0
