competition_id,fixture_id,fixture_date,fixture_time,fixture_url,fixture_round,neutral_venue,weather_temp,weather_rainfall,weather_wind,weather_phenomena,home_team,away_team,home_odds,draw_odds,away_odds,ht_handicap_line,handicap_line,ht_total_points_line,total_points_line,home_ht_score,away_ht_score,home_ft_score,away_ft_score,home_agp_score,away_agp_score,first_scoring_play,team_scoring_first_try,team_scoring_last_try,first_tryscorer_name,last_tryscorer_name,help_home_ht_cover,help_away_ht_cover,help_home_cover,help_away_cover,help_ht_over,help_ht_under,help_over,help_under
2,11251,2026-08-15,21:00:00,https://www.superleague.co.uk/match-centre/report/44068,23,0,27.12,0,1.54,overcast clouds,Toulouse Olympique,Huddersfield Giants,1.75,19.45,2.15,-1.5,-3.5,22.5,46.5,6,22,10,26,,,Away Try,Away,Home,Sam Halsall,Mathieu Jussaume,0,1,0,1,1,0,0,1
2,11252,2026-08-18,20:00:00,https://www.superleague.co.uk/match-centre/report/43915,2,0,19.91,0,5.66,overcast clouds,Hull Kingston Rovers,Warrington Wolves,1.4,22.85,3.1,-3.5,-7.5,21.5,43.5,14,10,28,34,,,Home Pen,Away,Home,Albert Hopoate,Tevita Pangai Junior,1,0,0,1,1,0,1,0
2,11253,2026-08-21,20:00:00,https://www.superleague.co.uk/match-centre/report/44070,24,0,15.79,0,0.45,scattered clouds,Wigan Warriors,Wakefield Trinity,1.15,30.2,5.65,-6.5,-14.5,22.5,46.5,20,0,26,12,,,Home Try,Home,Away,Bevan French,Ky Rodwell,1,0,0,1,0,1,0,1
2,11254,2026-08-21,20:00:00,https://www.superleague.co.uk/match-centre/report/44071,24,0,15.52,0,0.89,scattered clouds,Leigh Leopards,Bradford Bulls,1.05,40.5,11.75,-11.5,-24.5,25.5,51.5,14,4,62,10,,,Home Try,Home,Away,Robbie Mulhern,Eliot Peposhi,0,1,1,0,0,1,1,0
2,11255,2026-08-22,15:00:00,https://www.superleague.co.uk/match-centre/report/44072,24,0,19.03,0,5.14,overcast clouds,St Helens,Castleford Tigers,1.2,30.05,4.85,-6.5,-14.5,23.5,48.5,30,0,36,12,,,Home Try,Home,Away,Jack Welsby,Phoenix Laulu-Togaga'e,1,0,1,0,1,0,0,1
2,11256,2026-08-22,17:00:00,https://www.superleague.co.uk/match-centre/report/44069,24,0,18.54,0,3.6,overcast clouds,Hull Kingston Rovers,Toulouse Olympique,1.1,35.55,7.6,-8.5,-18.5,24.5,50.5,6,6,12,32,,,Away Try,Away,Home,Mathieu Jussaume,Louix Gorman,0,1,0,1,0,1,0,1
2,11257,2026-08-22,21:00:00,https://www.superleague.co.uk/match-centre/report/44073,24,0,24.77,0,2.57,clear sky,Catalans Dragons,Hull FC,1.6,20.85,2.4,-2.5,-5.5,22.5,46.5,12,14,26,27,,,Away Try,Away,Away,Logan Moy,Aidan Sezer,0,1,0,1,1,0,1,0
2,11258,2026-08-23,15:00:00,https://www.superleague.co.uk/match-centre/report/44074,24,0,20.92,0,4.12,few clouds,Warrington Wolves,Huddersfield Giants,1.2,28.65,4.75,-6.5,-14.5,25.5,51.5,22,4,34,24,,,Away Try,Away,Away,Sam Halsall,Jacob Gagai,1,0,0,1,1,0,1,0
2,11259,2026-08-23,15:00:00,https://www.superleague.co.uk/match-centre/report/44075,24,0,20.77,0,0.84,scattered clouds,York RLFC,Leeds Rhinos,6.8,38,1.1,7.5,16.5,25.5,52.5,0,36,16,66,,,Away Try,Away,Away,Riley Lumb,Chris Hankinson,0,1,0,1,1,0,1,0
2,11260,2026-08-27,20:00:00,https://www.superleague.co.uk/match-centre/report/44076,25,0,18.67,0,0.89,overcast clouds,Wigan Warriors,Hull Kingston Rovers,1.01,67,34,-20.5,-42.5,28.5,58.5,28,0,46,0,,,Home Try,Home,Home,Liam Marshall,Jake Wardle,1,0,1,0,0,1,0,1
2,11261,2026-08-28,20:00:00,https://www.superleague.co.uk/match-centre/report/44077,25,0,19.28,0,5.77,clear sky,Castleford Tigers,Catalans Dragons,1.85,19,2.05,-0.5,-1.5,21.5,44.5,6,12,6,34,,,Away Try,Away,Away,Toby Sexton,Toby Sexton,0,1,0,1,0,1,0,1
2,11262,2026-08-28,20:00:00,https://www.superleague.co.uk/match-centre/report/44078,25,0,18.15,0,6.17,clear sky,St Helens,Leeds Rhinos,3.6,26,1.3,4.5,9.5,21.5,43.5,0,18,6,34,,,Away Try,Away,Away,Chris Hankinson,Brodie Croft,0,1,0,1,0,1,0,1
2,11263,2026-08-28,20:00:00,https://www.superleague.co.uk/match-centre/report/44079,25,0,18.04,0,3.58,broken clouds,Huddersfield Giants,Leigh Leopards,4.35,26,1.2,5.5,11.5,21.5,44.5,14,6,30,18,,,Away Try,Away,Home,Owen Trout,Cole Geyer,1,0,1,0,0,1,1,0
2,11264,2026-08-29,17:00:00,https://www.superleague.co.uk/match-centre/report/44080,25,0,17.14,1.78,0.89,moderate rain,Wakefield Trinity,York RLFC,1.05,34,8,-8.5,-18.5,22.5,46.5,10,4,28,12,,,Home Try,Home,Home,Corey Hall,Lachlan Walmsley,0,1,0,1,0,1,0,1
2,11265,2026-08-29,17:00:00,https://www.superleague.co.uk/match-centre/report/44081,25,0,18.87,0,3.6,overcast clouds,Hull FC,Warrington Wolves,3.2,21,1.4,2.5,6.5,18.5,38.5,2,12,14,16,,,Away Pen,Away,Home,Leon Hayes,Tom Briscoe,0,1,1,0,0,1,0,1
2,11266,2026-08-29,21:00:00,https://www.superleague.co.uk/match-centre/report/44082,25,0,27.12,0,3.6,clear sky,Toulouse Olympique,Bradford Bulls,1.1,34,7,-8.5,-18.5,25.5,52.5,16,6,28,18,,,Home Try,Home,Away,Paul Ulberg,Alfie Leake,1,0,0,1,0,1,0,1
2,11267,2026-09-03,20:00:00,https://www.superleague.co.uk/match-centre/report/44083,26,0,17.96,0.27,7.6,light rain,Bradford Bulls,Castleford Tigers,1.8,20.7,2.05,-0.5,-2.5,19.5,40.5,26,4,32,22,,,Home Try,Home,Away,Riley Dean,Krystian Mapapalangi,1,0,1,0,1,0,1,0
2,11268,2026-09-04,19:00:00,https://www.superleague.co.uk/match-centre/report/44084,26,0,37.12,0,4.63,clear sky,Toulouse Olympique,Hull FC,1.6,22,2.4,-1.5,-3.5,23.5,47.5,30,0,44,30,,,Home Try,Home,Away,Henry O'Kane,Lewis Martin,1,0,1,0,1,0,1,0
